Trigger_Name,Actual_lumi,Effective_lumi,First_run,Last_run,datasets
HLT_Mu6HT240_DisplacedDijet40_Inclusive0PtrkShortSig5_v,27.2,27.2,366403,370790,DisplacedJet
HLT_Mu6HT240_DisplacedDijet35_Inclusive1PtrkShortSig5_DisplacedLoose_v,27.2,27.2,366403,370790,DisplacedJet
HLT_Mu6HT240_DisplacedDijet35_Inclusive0PtrkShortSig5_v,27.2,27.2,366403,370790,DisplacedJet
HLT_Mu6HT240_DisplacedDijet30_Inclusive1PtrkShortSig5_DisplacedLoose_v,27.2,27.2,366403,370790,DisplacedJet
HLT_Mu55_v,27.2,27.2,366403,370790,"Muon[0,1]"
HLT_Mu50_v,27.2,27.2,366403,370790,"Muon[0,1]"
HLT_Mu50_L1SingleMuShower_v,27.1,27.1,366403,370790,"Muon[0,1]"
HLT_Mu50_IsoVVVL_PFHT450_v,27.2,27.2,366403,370790,"Muon[0,1]"
HLT_Mu48NoFiltersNoVtx_Photon48_CaloIdL_v,27.2,27.2,366403,370790,MuonEG
HLT_Mu43NoFiltersNoVtxDisplaced_Photon43_CaloIdL_v,27.2,27.2,366403,370790,MuonEG
HLT_Mu43NoFiltersNoVtx_Photon43_CaloIdL_v,27.2,27.2,366403,370790,MuonEG
HLT_Mu4_TrkIsoVVL_DiPFJet90_40_DEta3p5_MJJ750_HTT300_PFMETNoMu60_v,27.2,27.2,366403,370790,"Muon[0,1], ParkingVBF[0-7]"
HLT_Mu4_L1DoubleMu_v,27.2,0.027,366403,370790,"ParkingDoubleMuonLowMass[0-7], ReservedDoubleMuonLowMass"
HLT_Mu3er1p5_PFJet100er2p5_PFMETNoMu90_PFMHTNoMu90_IDTight_v,0,0,366403,370790,"Muon[0,1]"
HLT_Mu3er1p5_PFJet100er2p5_PFMETNoMu80_PFMHTNoMu80_IDTight_v,0,0,366403,370790,"Muon[0,1]"
HLT_Mu3er1p5_PFJet100er2p5_PFMETNoMu100_PFMHTNoMu100_IDTight_v,27.2,27.2,366403,370790,"Muon[0,1]"
HLT_Mu3er1p5_PFJet100er2p5_PFMET90_PFMHT90_IDTight_v,27.2,27.2,366403,370790,"Muon[0,1]"
HLT_Mu3er1p5_PFJet100er2p5_PFMET80_PFMHT80_IDTight_v,0,0,366403,370790,"Muon[0,1]"
